PhraseId,SentenceId,Phrase,Sentiment
1024,38,The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . ',Negative
1051,39,"Do n't judge this one too soon - it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going .",Positive
1088,40,So could young romantics out on a date .,Positive
1100,41,"Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .",Negative
1135,42,Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role .,Positive
1165,43,"If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .",Positive
1199,44,This 100-minute movie only has about 25 minutes of decent material .,Negative
1216,45,"Fortunately , you still have that option .",Positive
1225,46,Less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB- .,Positive
1258,47,As tricky and satisfying as any of David Mamet 's airless cinematic shell games .,Positive
1281,48,"I 'm sure the filmmaker would disagree , but , honestly , I do n't see the point .",Negative
1305,49,Jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .,Positive
1333,50,"Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .",Positive
1369,51,"Takes a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker .",Negative
1401,52,"Finally coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie .",Positive
1446,53,"Thanks largely to Williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film .",Negative
1480,54,"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible .",Negative
1506,55,"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",Positive
1523,56,Both lead performances are Oscar-size .,Positive
1531,57,Run for your lives !,Negative
1539,58,Mark Pellington 's latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth .,Positive
1569,59,"Claude Chabrol 's camera has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .",Positive
1609,60,Transforms one of -LRB- Shakespeare 's -RRB- deepest tragedies into a smart new comedy .,Positive
1628,61,"The screenplay by James Eric , James Horton and director Peter O'Fallon ... is so pat it makes your teeth hurt .",Negative
1659,62,"But arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us .",Positive
1687,63,Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered .,Negative
1716,64,The characters are more deeply thought through than in most ` right-thinking ' films .,Positive
1735,65,"The film , despite the gratuitous cinematic distractions impressed upon it , is still good fun .",Positive
1755,66,Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,Negative
1799,67,"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic .",Positive
1840,68,It 's like a drive-by .,Negative
1846,69,"is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it 's a love story as sanguine as its title .",Positive
1883,70,A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,Positive
1918,71,"But it has an ambition to say something about its subjects , but not a willingness .",Negative
1938,72,-LRB- Scherfig -RRB- has made a movie that will leave you wondering about the characters ' lives after the clever credits roll .,Positive
1966,73,-LRB- An -RRB- absorbing documentary .,Positive
1973,74,Reeks of rot and hack work from start to finish .,Positive
1984,75,Plays like a series of vignettes -- clips of a film that are still looking for a common through-line .,Negative
2006,76, ,Negative
2013,77,The major problem with Windtalkers is that the bulk of the movie centers on the wrong character .,Negative
2034,78,"Swimfan , like Fatal Attraction , eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .",Positive
2071,79,This is a heartfelt story ... it just is n't a very involving one .,Negative
2087,80,"An unsettling , memorable cinematic experience that does its predecessors proud .",Positive
2102,81,"All in all , it 's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .",Positive
2142,82,"Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose , and it 's there on the screen in their version of The Quiet American .",Positive
2195,83,The Pianist lacks the quick emotional connections of Steven Spielberg 's Schindler 's List .,Positive
2218,84,"Inventive , fun , intoxicatingly sexy , violent , self-indulgent and maddening .",Positive
2235,85,"Tells a fascinating , compelling story .",Positive
2244,86,"Written , flatly , by David Kendall and directed , barely , by There 's Something About Mary co-writer Ed Decter .",Negative
2274,87,"Highly recommended viewing for its courage , ideas , technical proficiency and great acting .",Positive
2297,88,"In IMAX in short , it 's just as wonderful on the big screen .",Positive
2315,89,It shows us a slice of life that 's very different from our own and yet instantly recognizable .,Positive
2338,90,"Amid the shock and curiosity factors , the film is just a corny examination of a young actress trying to find her way .",Negative
2369,91,It 's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,Positive
2394,92,"... it 's as comprehensible as any Dummies guide , something even non-techies can enjoy .",Positive
2414,93,"Entertains not so much because of its music or comic antics , but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel .",Negative
2453,94,"Writer\/director Burr Steers emphasizes the Q in Quirky , with mixed results .",Positive
2473,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,Negative
2504,96,"Invigorating , surreal , and resonant with a rainbow of emotion .",Positive
2520,97,"`` Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",Negative
2556,98,Report card : Does n't live up to the exalted tagline - there 's definite room for improvement .,Negative
2581,99,"It 's not a particularly good film , but neither is it a monsterous one .",Positive
2598,100,Tsai may be ploughing the same furrow once too often .,Positive
2614,101,"-LRB- Green is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike .",Negative
2654,102,A surprisingly ` solid ' achievement by director Malcolm D. Lee and writer John Ridley .,Positive
2678,103,"Massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner -LRB- and ultimately the victim -RRB- of history .",Positive
2719,104,Changing Lanes tries for more .,Positive
2727,105,Shyamalan should stop trying to please his mom .,Negative
2739,106,A macabre and very stylized Swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .,Positive
2777,107,"One of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise .",Positive
2804,108,The narrative is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys .,Positive
2841,109,Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,Positive
2865,110,A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being .,Negative
2895,111,"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny .",Positive
2930,112,"And if you appreciate the one-sided theme to Lawrence 's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .",Negative
2972,113,The whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .,Negative
3022,114,"Whenever it threatens to get bogged down in earnest dramaturgy , a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us .",Positive
3065,115,"Swinging , the film makes it seem , is not a hobby that attracts the young and fit .",Negative
3087,116,"But when it does , you 're entirely unprepared .",Positive
3099,117,Devos delivers a perfect performance that captures the innocence and budding demons within a wallflower .,Positive
3123,118,"300 years of Russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .",Positive
3151,119,"The filmmakers want nothing else than to show us a good time , and in their cheap , B movie way , they succeed .",Positive
3181,120,"Mr. Polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival .",Positive
3226,121,"`` Spider-man is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff .",Positive
3263,122,Absorbing character,Positive
3265,123,"Violent , vulgar and forgettably entertaining .",Negative
3273,124,It 's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of Sarah and Harrison .,Positive
3305,125,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",Positive
3347,126,"If Mostly Martha is mostly unsurprising , it 's still a sweet , even delectable diversion .",Positive
3368,127,"A thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause .",Positive
3417,128,"Keenly observed and refreshingly natural , Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner .",Positive
3471,129,A brilliant gag at the expense of those who paid for it and those who pay to see it .,Positive
3493,130,"A triumph , a film that hews out a world and carries us effortlessly from darkness to light .",Positive
3516,131,Just about everyone involved here seems to be coasting .,Negative
3529,132,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",Positive
3551,133,I suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD .,Negative
3591,134,"It 's hard to say who might enjoy this , are there Tolstoy groupies out there ?",Negative
3610,135,Daughter From Danang reveals that efforts toward closure only open new wounds .,Negative
3630,136,One of the year 's most weirdly engaging and unpredictable character pieces .,Positive
3643,137,Intriguing and downright intoxicating .,Positive
3649,138,"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",Negative
3687,139,"The movie is silly beyond comprehension , and even if it were n't silly , it would still be beyond comprehension .",Negative
3708,140,Sleek and arty .,Positive
3713,141,"Poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action .",Negative
3732,142,"-LRB- Cho 's face is -RRB- an amazing slapstick instrument , creating a scrapbook of living mug shots .",Positive
3760,143,It gets the details of its time frame right but it completely misses its emotions .,Negative
3778,144,Initial strangeness inexorably gives way to rote sentimentality and mystical tenderness becomes narrative expedience .,Positive
3800,145,"It lets you brush up against the humanity of a psycho , without making him any less psycho .",Positive
3824,146,"Like the world of his film , Hartley created a monster but did n't know how to handle it .",Negative
3848,147,"When cowering and begging at the feet a scruffy Giannini , Madonna gives her best performance since Abel Ferrara had her beaten to a pulp in his Dangerous Game .",Positive
3890,148,Too clumsy in key moments ... to make a big splash .,Negative
3905,149,"Because Eight Legged Freaks is partly an homage to Them , Tarantula and other low - budget B-movie thrillers of the 1950s and '60s , the movie is a silly -LRB- but not sophomoric -RRB- romp through horror and hellish conditions .",Positive
3961,150,"It feels like very light Errol Morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs .",Negative
3994,151,Spielberg 's realization of a near-future America is masterful .,Positive
4004,152,"There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces .",Negative
4054,153,He 's one of the few ` cool ' actors who never seems aware of his own coolness .,Positive
4077,154,"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",Negative
4118,155,... stale and uninspired .,Negative
4124,156,"In the director 's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes .",Positive
4164,157,Has the rare capability to soothe and break your heart with a single stroke .,Positive
4185,158,Eerily accurate depiction of depression .,Negative
4194,159,"As a feature-length film , it wears out its welcome as tryingly as the title character .",Negative
4213,160,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",Positive
4235,161,The story alone could force you to scratch a hole in your head .,Negative
4252,162,It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .,Positive
4278,163,"As any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures , you get a lot of running around , screaming and death .",Positive
4319,164,You bet there is and it 's what makes this rather convoluted journey worth taking .,Positive
4337,165,"Before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience .",Positive
4382,166,Kim Ki-Deok seems to have in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .,Negative
4426,167,"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents .",Negative
4454,168,A well-made but emotionally scattered film whose hero gives his heart only to the dog .,Positive
4474,169,"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .",Positive
4495,170,Campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,Positive
4515,171,Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .,Negative
4539,172,It 's a sharp movie about otherwise dull subjects .,Positive
4550,173,"Wallace gets a bit heavy handed with his message at times , and has a visual flair that waxes poetic far too much for our taste .",Positive
4585,174,Charming and funny -LRB- but ultimately silly -RRB- movie .,Positive
4595,175,"... the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house .",Positive
4628,176,"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .",Negative
4654,177,This is a children 's film in the truest sense .,Positive
4666,178,Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,Negative
4684,179,"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",Positive
4719,180,An awkwardly contrived exercise in magic realism .,Negative
4729,181,"The punch lines that miss , unfortunately , outnumber the hits by three-to-one .",Negative
4749,182,"Like Smoke Signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama",Positive
4783,183,Evokes the style and flash of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun .,Positive
4813,184,"The film aims to be funny , uplifting and moving , sometimes all at once .",Positive
4828,185,"At a brief 42 minutes , we need more X and less blab .",Positive
4846,186,The Spalding Gray equivalent of a teen gross-out comedy .,Positive
4859,187,There 's a great deal of corny dialogue and preposterous moments .,Negative
4872,188,Uneven but a lot of fun .,Positive
4878,189,The result might look like Vulgar .,Positive
4885,190,The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,Negative
4912,191,The dragons are the real stars of Reign of Fire and you wo n't be disappointed .,Positive
4934,192,It never plays as dramatic even when dramatic things happen to people .,Negative
4948,193,Manages to please its intended audience -- children -- without placing their parents in a coma-like state .,Positive
4970,194,The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .,Negative
4991,195,"Though the film never veers from its comic course , its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous .",Positive
5022,196,The film can depress you about life itself .,Negative
5030,197,"If you saw it on TV , you 'd probably turn it off , convinced that you had already seen that movie .",Negative
5056,198,You get the impression that writer and director Burr Steers knows the territory ... but his sense of humor has yet to lose the smug self-satisfaction usually associated with the better private schools .,Negative
5097,199,This is a superior horror flick .,Positive
5104,200,The movie 's heavy-handed screenplay navigates a fast fade into pomposity and pretentiousness .,Positive
5121,201,A little weak -- and it is n't that funny .,Negative
5131,202,But they do n't fit well together and neither is well told .,Negative
5144,203,Being latently gay and liking to read are hardly enough .,Positive
5159,204,More sophisticated and literate than such pictures usually are ... an amusing little catch .,Positive
5178,205,Storytelling feels slight .,Negative
5182,206,Monte Cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .,Positive
5210,207,It 's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .,Positive
5240,208,Well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .,Positive
5267,209,"... only Bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction .",Positive
5294,210,"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .",Negative
5318,211,Damon brings the proper conviction to his role as -LRB- Jason Bourne -RRB- .,Positive
5337,212,Parents beware ; this is downright movie penance .,Negative
5347,213,"When it 's this rich and luscious , who cares ?",Positive
5360,214,A singularly off-putting romantic comedy .,Negative
5367,215,Director Boris von Sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,Positive
5399,216,"Would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement .",Negative
5429,217,"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find .",Negative
5480,218,"An earnest , roughshod document , it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",Positive
5517,219,Cloaks a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds .,Negative
5542,220,A film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .,Negative
5569,221,His work transcends the boy-meets-girl posturing of typical love stories .,Positive
5584,222,"An even more predictable , cliche-ridden endeavor than its predecessor .",Negative
5597,223,Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,Negative
5627,224,"The script covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people .",Negative
5665,225,The film is so bad it does n't improve upon the experience of staring at a blank screen .,Negative
5683,226,They threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .,Negative
5717,227,"It 's difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 .",Negative
5749,228,"Though the film is well-intentioned , one could rent the original and get the same love story and parable .",Positive
5768,229,"Jolting into Charleston rhythms , the story has the sizzle of old news that has finally found the right vent -LRB- accurate ?",Positive
5796,230,Or both .,Positive
5798,231,"Williams plays Sy , another of his open-faced , smiling madmen , like the killer in Insomnia .",Positive
5821,232,Phoned-in business as usual .,Negative
5827,233,"With its lackadaisical plotting and mindless action , All About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .",Negative
5857,234,"Ah , yes , that would be me : fighting off the urge to doze .",Negative
5877,235,"Thoughtless , random , superficial humour and a lot of very bad Scouse accents",Negative
5894,236,"In an era where big stars and high production values are standard procedure , Narc strikes a defiantly retro chord , and outpaces its contemporaries with daring and verve .",Positive
5935,237,A rip-roaring comedy action fest that 'll put hairs on your chest .,Positive
5953,238,... a thoughtful what-if for the heart as well as the mind .,Positive
5964,239,Miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .,Positive
5982,240,"A chronicle not only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department .",Positive
6037,241,"Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending .",Positive
6067,242,Feels strangely hollow at its emotional core .,Negative
6077,243,"At a time when commercialism has squeezed the life out of whatever idealism American moviemaking ever had , Godfrey Reggio 's career shines like a lonely beacon .",Positive
6112,244,Director Roger Michell does so many of the little things right that it 's difficult not to cuss him out severely for bungling the big stuff .,Positive
6143,245,Robert Harmon 's less-is-more approach delivers real bump-in - the-night chills -- his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows .,Positive
6180,246,"This movie may not have the highest production values you 've ever seen , but it 's the work of an artist , one whose view of America , history and the awkwardness of human life is generous and deep .",Positive
6221,247,Feral and uncomfortable .,Negative
6226,248,"Sillier , cuter , and shorter than the first -LRB- as best I remember -RRB- , but still a very good time at the cinema .",Positive
6254,249,"It 's more enjoyable than I expected , though , and that 's because the laughs come from fairly basic comedic constructs .",Positive
6282,250,Black-and-white and unrealistic .,Negative
6287,251,The film is predictable in the reassuring manner of a beautifully sung holiday carol .,Positive
6305,252,"The only camouflage Carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers .",Negative
6352,253,"Not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense .",Positive
6391,254,"Some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity .",Negative
6431,255,Offers the flash of rock videos fused with solid performances and eerie atmosphere .,Positive
6449,256,"A breezy blend of art , history , esoteric musings and philosophy .",Positive
6465,257,"Now as a former Gong Show addict , I 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show .",Positive
6503,258,Genuinely unnerving .,Positive
6507,259,"The increasingly diverse French director has created a film that one can honestly describe as looking , sounding and simply feeling like no other film in recent history .",Positive
6536,260,One of those joyous films that leaps over national boundaries and celebrates universal human nature .,Positive
6557,261,A difficult but worthy film that bites off more than it can chew by linking the massacre of Armenians in 1915 with some difficult relationships in the present .,Positive
6593,262,"Halfway through the movie , the humor dwindles .",Negative
6602,263,"Witty and often surprising , a dark little morality tale disguised as a romantic comedy .",Positive
6620,264,"One senses in World Traveler and in his earlier film that Freundlich bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact .",Negative
6660,265,"In fact , even better .",Positive
6666,266,... a preachy parable stylized with a touch of John Woo bullet ballet .,Positive
6684,267,Proves that some movie formulas do n't need messing with -- like the big-bug movie .,Positive
6701,268,"An uplifting , largely bogus story .",Positive
6708,269,"Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods .",Positive
6738,270,Superbly photographed and staged by Mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,Positive
6766,271,A mesmerizing cinematic poem from the first frame to the last .,Positive
6779,272,"After the first 10 minutes , which is worth seeing",Positive
6795,273,It has become apparent that the franchise 's best years are long past .,Negative
6813,274,"Screenwriter Chris ver Weil 's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability .",Positive
6847,275,"Too much of Storytelling moves away from Solondz 's social critique , casting its audience as that of intellectual lector in contemplation of the auteur 's professional injuries .",Negative
6886,276,"Ultimately , Sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness .",Negative
6930,277,"The jokes are flat , and the action looks fake .",Negative
6942,278,A mildly enjoyable if toothless adaptation of a much better book .,Positive
6956,279,Festers in just such a dungpile that you 'd swear you were watching monkeys flinging their feces at you .,Negative
6981,280,"In addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .",Negative
7014,281,"A vile , incoherent mess ... a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . '",Negative
7037,282,"First , for a movie that tries to be smart , it 's kinda dumb .",Negative
7053,283,I was sent a copyof this film to review on DVD .,Positive
7067,284,... silly humbuggery ...,Negative
7071,285,"Is n't as sharp as the original ... Despite some visual virtues , ` Blade II ' just does n't cut it .",Negative
7092,286,"A smart , arch and rather cold-blooded comedy .",Positive
7102,287,-LRB- A -RRB- rather thinly-conceived movie .,Negative
7109,288,"Its flame-like , roiling black-and-white inspires trembling and gratitude .",Positive
7123,289,Robinson 's web of suspense matches the page-turning frenzy that Clancy creates .,Positive
7141,290,A slight but sweet film .,Positive
7146,291,Got a David Lynch jones ?,Positive
7153,292,Earnest and tentative even when it aims to shock .,Positive
7163,293,Time of Favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation .,Negative
7213,294,`` Austin Powers in Goldmember '' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .,Positive
7242,295,What puzzles me is the lack of emphasis on music in Britney Spears ' first movie .,Positive
7262,296,The filmmakers might want to look it up .,Positive
7269,297,"While maintaining the appearance of clinical objectivity , this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .",Positive
7298,298,There is simply no doubt that this film asks the right questions at the right time in the history of our country .,Positive
7323,299,A dreary movie .,Negative
7327,300,"Sadly , though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .",Negative
7369,301,"To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit .",Negative
7422,302,"Using a stock plot , About a Boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .",Positive
7452,303,"Beating the Austin Powers films at their own game , this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness .",Positive
7500,304,What begins as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters .,Positive
7524,305,Buy popcorn .,Positive
7528,306,A late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .,Positive
